Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
5,3.0,0.0,1,0,30.0,0.0,0.0,8,0.1458,0.0,61.18467,25.0,1.68878,0,42.8535,0,0.32222,21.38
5,3.0,0.0,1,0,30.0,0.0,0.0,8,0.1458,0.0,62.41295,30.0,1.56083,0,44.78243,0,0.33472,21.49
8,6.22222,0.0,0,1,56.0,0.0,0.0,8,0.1,0.0,66.95741,24.8781,1.66749,0,42.32072,0,0.39603,51.47
8,6.22222,0.0,0,1,56.0,0.0,15.0,8,0.1,0.0,64.52963,22.8873,1.80593,0,35.79315,12,0.53068,64.64
8,6.22222,0.0,0,1,56.0,0.0,10.0,8,0.1,0.0,65.29182,26.366,1.57849,0,39.99132,0,0.39136,63.1
8,6.22222,0.0,0,1,56.0,0.0,25.0,8,0.1,0.0,62.88594,24.4799,1.71941,0,36.348,0,0.49567,68.47
0,0.0,0.0,0,1,21.0,21.0,0.0,8,0.06,0.21,55.0,11.5,2.34,0,26.8,0,0.25926,32.42
0,0.0,0.0,0,1,21.0,21.0,20.0,8,0.06,0.21,55.0,14.7,2.52,0,36.1,7,0.25926,23.55
0,0.0,0.0,0,1,21.0,21.0,20.0,8,0.06,0.21,55.0,14.0,2.52,0,35.3,7,0.25926,19.67
0,15.5,0.0,0,1,31.0,31.0,0.0,8,0.06,0.09384,65.4,14.2,2.1,0,29.7,0,0.51333,48.8
0,15.5,0.0,0,1,31.0,31.0,0.0,8,0.06,0.15639,65.4,14.2,2.1,0,29.7,0,0.51333,50.7
0,15.5,0.5,0,1,31.0,31.0,0.0,8,0.06,0.28151,65.4,14.2,2.1,1,29.7,0,0.51333,53.1
8,0.0,0.0,0,1,48.0,48.0,0.0,3,0.045,0.3279,50.0,17.07927,2.46,0,42.015,0,0.64044,67.56
5,0.0,0.0,0,1,48.0,48.0,0.0,3,0.045,0.34666,50.0,17.32857,2.66,0,46.094,0,0.60578,60.2
7,0.0,0.0,0,1,48.0,48.0,0.0,3,0.045,0.38698,50.0,19.33299,1.97,0,38.086,0,0.54267,60.06
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.2,72.1,10.57997,2.77826,0,29.3939,0,0.646,52.59
6,7.0,0.0,0,1,35.0,35.0,10.0,8,0.06,0.2,72.1,11.30095,2.59565,0,29.3333,13,0.646,50.31
6,7.0,0.0,0,1,35.0,35.0,10.0,8,0.06,0.2,72.1,10.89254,2.6837,0,29.2323,2,0.646,48.7
6,7.0,0.0,0,1,35.0,35.0,12.5,8,0.06,0.2,72.1,11.19228,2.68042,0,30.0,13,0.646,49.24
6,7.0,0.0,0,1,35.0,35.0,12.5,8,0.06,0.2,72.1,11.3794,2.67717,0,30.4646,2,0.646,47.73
8,21.0,0.0,0,1,21.0,21.0,0.0,8,1.2096,0.24,59.81,19.9,1.91,0,38.1,0,0.6054,49.2
8,21.0,0.0,0,1,21.0,21.0,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,0,0.56685,44.46
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,70.77222,53.2,0.97,0,51.3,0,0.47168,49.18
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,70.77222,54.9,0.92,0,50.6,11,0.50134,49.13
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,70.77222,53.7,0.92,0,49.4,11,0.50134,44.24
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,69.63222,52.0,0.94,0,48.9,11,0.47168,43.93
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,69.41222,51.1,0.91,0,46.6,1,0.47168,48.71
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,70.77222,54.0,0.83,0,44.6,1,0.50134,44.74
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,69.41222,53.5,0.77,0,41.1,1,0.50134,44.62
5,1.0,0.0,0,1,15.0,15.0,0.0,5,0.018,0.9532,65.03,12.88,2.16588,0,27.89653,0,0.44444,10.33
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.90506,63.17,24.41,1.92582,0,47.00927,0,0.49167,15.82
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.88629,62.39,27.43,1.84851,0,50.70463,0,0.49167,17.17
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.89127,62.6,28.06,1.81596,0,50.95584,0,0.49167,16.54
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.8765,61.97,16.31,2.06009,0,33.60007,0,0.49167,11.61
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,12.7
4,16.0,0.0,0,1,32.0,32.0,0.0,6,0.1,0.225,61.1,20.0,2.4739,0,49.47796,0,0.29146,22.76
4,16.0,0.0,0,1,32.0,32.0,0.0,6,0.1,0.23,53.5,30.0,1.72274,0,51.68213,0,0.39699,7.81
4,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,6,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,17.58
4,16.0,0.0,0,1,32.0,32.0,0.0,1,0.1,0.281,74.7,23.0,2.10582,0,48.43387,0,0.16332,34.26
4,16.0,0.0,0,1,32.0,32.0,0.0,1,0.1,0.25537,65.6,30.0,1.6628,0,49.88399,0,0.19849,21.27
4,16.0,0.0,0,1,32.0,32.0,0.0,1,0.1,0.28,53.0,40.0,1.35731,0,54.29234,0,0.36683,7.04
4,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,10.57
4,6.42857,0.0,0,0,45.0,0.0,0.0,8,0.06,0.0,65.87741,23.8,1.79,0,42.59,0,0.08333,43.0
4,6.42857,0.0,0,0,45.0,0.0,0.0,8,0.06,0.0,64.63467,30.6,1.45,0,44.38,0,0.08333,39.6
8,17.5,0.0,0,1,70.0,0.0,0.0,8,1.2096,0.0,63.6,17.26269,2.12625,0,36.7048,0,0.43648,54.8
8,17.5,0.0,0,1,70.0,70.0,0.0,8,1.2096,0.18,63.6,17.26269,2.12625,0,36.7048,0,0.25684,54.2
8,17.5,0.0,0,1,70.0,70.0,0.0,8,1.2096,0.36,63.6,17.26269,2.12625,0,36.7048,0,0.25684,53.7
8,17.5,0.0,0,1,70.0,70.0,0.0,8,1.2096,0.54,63.6,17.26269,2.12625,0,36.7048,0,0.25684,52.2
8,17.5,2.0,0,1,70.0,70.0,0.0,8,1.2096,0.54,63.6,17.26269,2.12625,1,36.7048,0,0.28386,56.3
0,0.0,0.0,0,1,31.0,31.0,0.0,8,0.01,0.43,83.0,16.5,2.60606,0,43.0,0,0.492,40.0
0,0.0,0.0,0,1,31.0,31.0,0.0,8,0.01,0.21,83.0,16.5,2.60606,0,43.0,0,0.492,45.0
5,0.0,0.0,0,1,31.0,31.0,0.0,8,0.01,0.48,71.0,6.1,5.77049,0,35.2,0,0.492,22.0
5,0.0,0.0,0,1,31.0,31.0,0.0,8,0.01,0.23,71.0,6.1,5.77049,0,35.2,0,0.492,24.0
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,28.0
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,33.0
8,7.5,5.0,0,1,30.0,30.0,0.0,8,0.06,0.48,65.9,17.86175,2.17,1,38.76,0,0.3679,58.4
8,7.5,5.0,0,1,30.0,30.0,10.0,8,0.06,0.48,70.13,18.73469,1.96,1,36.72,13,0.3679,56.6
8,7.5,5.0,0,1,30.0,30.0,10.2,8,0.06,0.48,70.13,17.73301,2.06,1,36.53,13,0.3679,56.3
8,7.5,5.0,0,1,30.0,30.0,5.2,8,0.06,0.48,70.13,17.80952,2.1,1,37.4,13,0.3679,58.0
5,12.5,1.0,0,1,25.0,25.0,0.0,8,0.06,0.08242,65.0,20.0,2.07432,1,38.47727,0,0.34667,24.3
5,12.5,1.0,0,1,25.0,25.0,0.0,8,0.06,0.82645,65.0,20.0,2.07432,1,38.47727,0,0.34571,54.47
5,12.5,1.0,0,1,25.0,25.0,0.0,8,0.06,1.64384,65.0,20.0,2.07433,1,38.53368,0,0.34762,45.7
8,7.71429,0.0,1,0,54.0,0.0,0.0,8,0.13,0.0,68.20741,21.38607,2.00199,0,39.38658,0,0.24104,58.0
8,7.71429,0.0,1,0,54.0,0.0,15.0,8,0.13,0.0,62.82171,17.3371,2.29398,0,36.26206,2,0.33829,54.2
8,7.71429,0.0,1,0,54.0,0.0,15.0,8,0.13,0.0,62.82171,17.3371,2.29398,0,36.26206,2,0.33829,53.8
8,7.71429,0.0,1,0,54.0,0.0,0.0,8,0.13,0.0,68.20741,21.38607,2.00199,0,39.38658,0,0.24104,55.4
8,7.71429,0.0,1,0,54.0,0.0,6.0,8,0.13,0.0,63.57622,17.92744,2.24279,0,36.18694,12,0.37312,52.1
8,7.71429,0.0,1,0,54.0,0.0,6.0,8,0.13,0.0,63.57622,17.92744,2.24279,0,36.18694,12,0.37312,51.8
6,5.0,0.02778,0,1,45.0,45.0,0.0,8,0.12,1.97084,65.0,21.22982,2.32236,1,36.86253,0,0.39779,16.32
6,5.0,0.02778,0,1,45.0,45.0,5.0,8,0.12,2.55513,65.0,21.99828,2.30744,1,35.55215,12,0.45334,17.17
6,5.0,0.02778,0,1,45.0,45.0,1.0,8,0.12,1.71142,65.0,21.99828,2.34936,1,37.1036,12,0.44572,18.95
6,5.0,0.02778,0,1,45.0,45.0,1.0,8,0.12,1.71142,65.0,21.99828,2.34936,1,37.1036,15,0.44572,15.14
6,5.0,0.02778,0,1,45.0,45.0,3.0,8,0.12,1.43942,65.0,21.99828,2.33936,1,36.88138,6,0.44747,16.54
6,5.0,0.02778,0,1,45.0,45.0,3.0,8,0.12,1.43942,65.0,21.99828,2.33936,1,36.88138,9,0.44747,17.15
6,5.0,0.02778,0,1,45.0,45.0,5.0,8,0.12,2.55513,65.0,21.99828,2.30744,1,35.55215,2,0.45334,22.42
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.1,72.86,11.37,2.68,0,30.45,0,0.667,49.9
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.2,72.86,11.37,2.68,0,30.45,0,0.667,47.7
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.3,72.86,11.37,2.68,0,30.45,0,0.667,43.8
