Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,22,0.46831,10.94737
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,6.04167
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,22,0.46831,14.4898
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,28,0.46831,10.1875
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,22,0.46831,16.33333
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,12.68381
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,12.08819
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,12.98188
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,10.27237
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,10.55777
1,0.0,0.0,0,1,28.0,28.0,25.0,5,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,9.08721
1,0.0,0.0,0,1,28.0,28.0,14.28571,5,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,9.48959
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,9.09293
1,0.0,0.0,0,1,28.0,28.0,0.0,1,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,11.69221
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.61638,13.9
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.48,65.2,18.3,2.08,0,38.0,0,0.62802,18.7
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.72,63.7,20.7,1.9,0,39.4,0,0.63455,20.6
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.59329,12.7
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.48,70.6,21.1,1.9,0,40.1,0,0.54659,16.9
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.72,70.8,15.0,2.35,0,35.2,0,0.62249,32.4
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,75.7,21.2,1.93,0,40.9,0,0.48326,9.6
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.48,76.8,14.9,2.37,0,35.3,0,0.60789,27.7
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.72,74.0,18.0,2.09,0,37.6,0,0.54503,24.9
0,0.0,0.0,1,1,21.0,21.0,0.0,5,0.0442,0.0,71.66,19.094,2.118,0,32.35656,0,0.857,5.37
0,0.0,0.0,1,1,21.0,21.0,0.0,5,0.0442,0.0,69.89,18.239,2.406,0,32.20675,0,0.857,2.589
9,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,23.81
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.1559,0.39,66.03,21.96203,1.817,0,39.905,0,0.70071,12.59
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.2984,0.355,65.69,21.51131,1.813,0,39.0,0,0.72895,16.16
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.5697,0.36,66.14,21.64477,1.796,0,38.874,0,0.75396,17.44
9,7.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,29.5
9,7.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,26.6
9,14.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,27.9
9,14.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,23.7
9,0.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,12.8
9,0.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,10.3
9,7.85714,0.0,2,0,55.0,0.0,0.0,0,11.25,0.0,60.04,15.39,1.998,0,30.74922,0,0.351,4.51
9,3.66667,0.0,2,0,55.0,0.0,0.0,0,11.25,0.0,60.04,15.39,1.998,0,30.74922,0,0.351,2.502
8,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,0,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,4.44
8,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,0,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,0,0.46831,2.18
8,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.2,72.1,11.37,2.68,0,30.45,0,0.667,21.16
9,8.0,0.0,0,1,56.0,0.0,0.0,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,0,0.475,35.7
9,8.0,0.0,0,1,56.0,0.0,3.3,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,27.4
9,8.0,0.0,0,1,56.0,0.0,6.6,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,20.7
9,8.0,0.0,0,1,56.0,0.0,9.9,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,15.7
9,8.0,0.0,0,1,56.0,0.0,13.2,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,12.9
7,3.11111,0.0,0,1,28.0,0.0,0.0,5,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,0,0.5,36.3
7,3.11111,0.0,0,1,28.0,0.0,2.0,5,0.13,0.0,60.661,30.0375,1.668,0,50.10255,4,0.5,33.2
7,3.11111,0.0,0,1,28.0,0.0,4.0,5,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,4,0.5,26.6
7,3.11111,0.0,0,1,28.0,0.0,6.0,5,0.13,0.0,60.4548,30.568,1.562,0,47.74722,4,0.5,20.4
7,3.11111,0.0,0,1,28.0,0.0,8.0,5,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,4,0.5,14.9
7,3.11111,0.0,0,1,28.0,0.0,10.0,5,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,4,0.5,10.7
0,5.33333,0.0,1,0,64.0,0.0,0.0,5,1.0,0.0,74.0,24.17538,2.23336,0,45.71888,0,0.1715,8.12
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.0,0.0,74.0,24.17538,2.28344,0,45.71888,0,0.1715,7.47
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.0,0.0,74.0,23.67538,2.23179,0,45.71888,0,0.1715,16.56
0,5.33333,0.0,1,1,64.0,64.0,0.0,5,1.0,1.157,74.0,19.65,2.11755,0,37.85355,0,0.1715,22.51
7,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,0.08242,60.0,19.76844,2.23049,1,44.09341,0,0.30333,0.04311
7,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,0.82645,60.0,20.12346,2.2314,1,44.90358,0,0.3025,10.75926
7,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,1.64384,60.0,20.01965,2.23068,1,44.65753,0,0.30417,19.90911
9,0.0,0.0,1,0,109.6,0.0,0.0,5,0.4,0.0,77.53,6.53,1.6154,0,27.94116,0,1.105,2.6
9,0.0,0.0,1,0,113.1,0.0,0.0,0,0.4,0.0,66.71,6.81,1.535,0,34.18134,0,0.89,1.2
9,0.0,0.0,1,0,113.1,0.0,0.0,0,0.4,0.0,66.36,9.22,1.535,0,34.18134,0,0.886,0.55
9,0.0,0.0,1,0,109.6,0.0,0.0,0,2.25507,0.0,67.68,7.35,1.575,0,34.18134,0,0.95,0.15
9,0.0,0.0,1,0,113.1,0.0,0.0,0,2.25507,0.0,66.26,7.24,1.535,0,34.18134,0,0.87,0.25
8,0.0,0.0,0,1,50.0,50.0,0.0,4,0.03,0.22286,72.13,19.11,2.21,0,42.22,0,0.26833,19.05908
8,0.0,0.0,0,1,50.0,50.0,0.0,5,0.03,0.20526,69.74,13.27,2.93,0,38.84,0,0.26833,13.69849
8,0.0,0.0,0,1,50.0,50.0,0.0,2,0.03,0.21455,71.05,13.56,3.48,0,38.16,0,0.26833,11.68199
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.8589,60.0,15.04166,2.6237,1,39.4648,0,0.22888,18.35
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.92562,60.0,19.96354,1.99111,1,39.7496,0,0.21239,20.72
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.90323,60.0,24.98683,1.60222,1,40.0344,0,0.21765,25.05
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.90909,60.0,30.22585,1.32741,1,40.1221,0,0.21625,25.95
2,7.0,0.5,0,1,28.0,28.0,0.0,5,0.06,1.20727,66.9,25.0,1.5,1,37.5,0,0.55333,34.9
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,0,0.51833,18.2
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,0,0.48833,6.5
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,0,0.54167,1.4
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,16.06
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,7.55
7,0.0,0.0,0,1,50.0,50.0,0.0,4,0.02,0.2,73.67,9.89,3.12,0,30.87,0,0.31884,13.53
9,3.61111,0.0,1,0,65.0,0.0,0.0,5,2.528,0.0,80.3,15.4,2.204,0,33.9416,0,0.46162,35.57169
9,3.61111,0.0,1,0,65.0,0.0,0.0,5,2.418,0.0,70.4,28.3,1.783,0,50.4589,0,0.46162,27.93045
9,3.61111,0.0,1,0,65.0,0.0,0.0,5,2.518,0.0,71.6,30.2,1.828,0,55.2056,0,0.43276,25.76586
9,3.61111,0.0,1,0,65.0,0.0,0.0,0,2.418,0.0,70.1,24.7,1.841,0,45.4727,0,0.46162,11.02662
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,11.0
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,17.0
0,29.33333,0.0,2,0,88.0,0.0,0.0,5,10.0,0.0,72.5,24.8,1.86,0,44.2,0,0.55924,18.0
0,0.0,0.0,2,0,85.0,0.0,0.0,5,10.0,0.0,74.8,22.3,1.96,0,42.6,0,0.40485,1.0
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,2.0
0,28.33333,0.0,2,0,85.0,0.0,0.0,5,10.0,0.0,74.8,22.3,1.96,0,42.6,0,0.49698,2.0
8,7.4,0.5,1,0,37.0,37.0,0.0,0,1.0,0.44609,65.0,25.0,1.227,1,30.675,0,0.61253,19.13405
8,7.4,0.5,1,0,37.0,37.0,5.0,0,1.0,0.33083,65.0,25.0,1.227,1,30.675,0,0.5957,14.06262
8,7.4,0.5,1,0,37.0,37.0,10.0,0,1.0,0.33083,65.0,25.0,1.227,1,30.675,0,0.55629,16.01476
0,3.64286,0.0,2,0,51.0,0.0,9.38,5,13.552,0.0,65.0,15.0,1.66572,0,24.9858,27,0.46667,9.74576
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,4.628,0.0,65.0,20.0,1.60453,0,32.0906,0,0.46616,6.61589
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,2.384,0.0,65.0,25.0,1.58074,0,39.5185,0,0.38359,4.66473
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,2.38,0.0,65.0,30.0,1.51445,0,45.4335,0,0.38359,4.133
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,4.624,0.0,65.0,35.0,1.39037,0,48.66295,0,0.42904,3.11185
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,0.91264,70.0,20.42,1.13,1,23.08,0,0.76234,11.57481
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,0.91264,70.0,20.42,1.13,1,23.08,0,0.76234,14.23691
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,0.91264,70.0,20.42,1.13,1,23.08,0,0.76234,18.31547
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.65498,63.453,11.67616,2.29,0,26.7384,11,0.71392,18.382
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.57098,62.8218,10.8911,2.46,0,26.7921,11,0.71392,18.095
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.59898,63.5272,11.37506,2.39,0,27.1864,0,0.71392,28.3484
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.65498,61.745,12.39416,2.26,0,28.0108,11,0.73029,20.6739
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.65498,62.5248,12.03611,2.29,0,27.5627,11,0.71268,13.8777
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.54287,62.0792,9.48508,2.46,0,23.3333,0,0.71392,29.4174
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.96248,60.3523,12.19238,2.14,0,26.0917,0,0.75792,22.7325
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.96183,61.1092,12.4725,2.12,0,26.4417,11,0.73967,20.3273
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.65498,62.0116,12.03702,2.25,0,27.0833,11,0.73029,17.2198
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.62698,62.5648,11.47597,2.36,0,27.0833,11,0.71268,11.7777
8,0.0,0.0,0,1,22.0,22.0,0.0,0,0.002,0.67098,61.575,12.56143,2.17,0,27.2583,11,0.73029,14.7074
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.65498,63.1761,9.94831,2.31,0,22.9806,0,0.71392,29.8424
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.81824,57.5744,13.48335,2.0,0,26.9667,11,0.74825,9.1448
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,1.00706,61.183,11.29719,2.03,0,22.9333,11,0.73967,7.9158
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.70986,60.5878,10.25299,2.24,0,22.9667,11,0.74825,5.0544
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.94648,59.9182,10.58916,2.15,0,22.7667,11,0.74825,14.8176
8,0.0,0.0,0,1,22.0,22.0,0.0,5,0.002,0.71021,61.0342,10.28656,2.21,0,22.7333,11,0.76677,23.2875
8,0.0,0.5,0,1,20.0,20.0,0.0,4,0.004,0.33659,71.2,16.4,2.46,1,40.344,0,0.80601,2.66375
8,0.0,0.5,0,1,20.0,20.0,3.05,4,0.004,0.34463,69.1,12.5,2.74,1,34.25,19,0.86413,1.57823
8,0.0,0.5,0,1,20.0,20.0,2.5,4,0.004,0.37456,69.8,13.8,2.52,1,34.776,19,0.79206,1.86471
8,0.0,0.5,0,1,20.0,20.0,3.025,4,0.004,0.34301,70.0,13.3,2.62,1,34.846,23,0.85531,3.84607
9,0.0,0.0,2,1,56.0,56.0,0.0,5,1.37,0.108,69.4,29.0,1.37255,0,40.19608,0,0.305,16.5
9,0.0,0.0,2,1,56.0,56.0,1.7301,5,1.37,0.108,71.1,24.7,1.6609,0,41.17647,27,0.305,27.5
9,0.0,0.0,2,1,56.0,56.0,0.32468,5,1.37,0.108,69.2,19.5,2.33766,0,45.77922,27,0.305,36.2
9,0.0,0.0,2,1,56.0,56.0,0.0,5,1.37,0.108,70.3,19.6,2.22222,0,44.10774,11,0.305,24.8
9,0.0,0.0,2,1,56.0,56.0,2.83688,4,1.18,0.108,71.8,19.5,2.30496,0,45.03546,27,0.305,24.9
9,15.8,0.0,0,1,31.6,31.6,0.0,5,0.3,0.06349,68.5,9.78122,3.94,0,38.538,0,0.492,4.37643
7,15.8,0.0,0,1,31.6,31.6,0.0,5,0.3,0.07479,68.8,7.99509,5.088,0,40.679,0,0.45033,10.20627
1,15.45,0.0,0,1,30.9,30.9,0.0,5,0.3,0.13333,62.5,9.00195,3.59,0,32.317,0,0.421,0.31793
3,15.85,0.0,0,1,31.7,31.7,0.0,4,0.3,0.17423,49.3,15.85104,3.303,0,52.356,0,0.45667,0.01038
3,15.85,0.0,0,1,31.7,31.7,0.0,4,0.3,0.14742,59.3,15.62558,3.253,0,50.83,0,0.43633,0.00975
3,15.45,0.0,0,1,30.9,30.9,0.0,4,0.3,0.13839,44.6,22.83357,2.079,0,47.471,0,0.346,0.09463
1,15.8,0.0,0,1,31.6,31.6,0.0,4,0.3,0.10315,69.3,10.15002,4.346,0,44.112,0,0.55633,0.5021
1,15.85,0.0,0,1,31.7,31.7,0.0,4,0.3,0.04877,41.9,21.21348,1.588,0,33.687,0,0.46967,0.00133
5,15.35,0.0,0,1,30.7,30.7,0.0,5,0.3,0.09,50.0,19.34033,2.239,0,43.303,0,0.30467,0.04284
5,15.4,0.0,0,1,30.8,30.8,0.0,5,0.3,0.14399,53.7,21.86667,1.455,0,31.816,0,0.304,0.21616
8,15.45,0.0,0,1,30.9,30.9,0.0,5,0.3,0.16469,49.4,4.89179,8.502,0,41.59,0,0.50433,2.09466
1,15.8,0.0,0,1,31.6,31.6,0.0,5,0.3,0.1738,62.6,5.22225,6.956,0,36.326,0,0.425,0.53156
6,15.35,0.0,0,1,30.7,30.7,0.0,4,0.3,0.17962,60.1,21.78854,1.797,0,39.154,0,0.524,0.7338
6,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,0.00779
1,15.4,0.0,0,1,30.8,30.8,0.0,4,0.3,0.07656,43.4,15.42469,2.098,0,32.361,0,0.50267,0.07871
0,6.0,0.0,0,1,66.0,66.0,0.0,5,0.028,0.4,72.7,18.0,1.9,0,34.2,0,0.26071,23.7467
0,6.0,0.0,0,1,66.0,66.0,0.0,5,0.028,0.4,71.7,18.0,1.92,0,34.56,0,0.25,20.78947
0,6.0,0.0,0,1,66.0,66.0,0.0,5,0.028,0.2,71.7,18.0,1.92,0,34.56,0,0.25,17.63158
0,6.0,0.0,0,1,66.0,66.0,0.0,4,0.028,0.2,68.8,22.0,1.76,0,38.72,0,0.25,11.45833
0,6.0,0.0,0,1,66.0,66.0,0.0,4,0.028,0.2,69.5,26.0,1.55,0,40.3,0,0.25,9.36556
0,6.0,0.0,0,1,66.0,66.0,0.0,4,0.028,0.2,67.3,29.0,1.33,0,38.57,0,0.25,13.15789
0,6.0,0.0,0,1,66.0,66.0,0.0,5,0.028,0.2,71.8,18.0,1.92,0,34.56,0,0.25,18.99736
0,0.0,0.0,1,0,64.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,45.07488,0,0.15591,8.84253
0,0.0,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,45.07488,0,0.15591,8.03866
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,23.88538,2.04892,0,45.59188,0,0.15591,17.68506
0,5.33333,0.02128,1,1,64.0,64.0,0.0,5,1.1,2.5,74.27405,19.65,2.04892,1,37.85355,0,0.15591,24.11599
7,7.5,0.01389,0,1,30.0,30.0,0.0,5,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,0,0.5,8.8
7,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,3,0.5,8.6
7,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,0,0.5,6.4
0,0.0,0.0,0,1,20.0,20.0,0.0,5,0.06,0.21,60.22,29.35,1.45,0,42.38,0,0.76586,17.2859
0,0.0,1.0,0,1,20.0,20.0,0.0,5,0.06,0.42,60.22,29.35,1.45,1,42.38,0,0.29422,13.0478
0,0.0,0.33333,0,1,20.0,20.0,0.0,5,0.06,0.84,60.22,29.35,1.45,1,42.38,0,0.73436,13.9488
9,6.22222,0.0,0,1,56.0,0.0,0.0,5,0.1,0.0,66.95741,24.8781,1.66749,0,42.32072,0,0.39603,20.65
9,6.22222,0.0,0,1,56.0,0.0,15.0,5,0.1,0.0,64.52963,22.8873,1.80593,0,35.79315,21,0.53068,28.11
9,6.22222,0.0,0,1,56.0,0.0,10.0,5,0.1,0.0,65.29182,26.366,1.57849,0,39.99132,0,0.39136,13.86
9,6.22222,0.0,0,1,56.0,0.0,25.0,5,0.1,0.0,62.88594,24.4799,1.71941,0,36.348,0,0.49567,19.21
0,0.0,0.0,0,1,21.0,21.0,0.0,5,0.06,0.21,55.0,11.5,2.34,0,26.8,0,0.25926,14.75511
0,0.0,0.0,0,1,21.0,21.0,20.0,5,0.06,0.21,55.0,14.7,2.52,0,36.1,12,0.25926,8.92663
0,0.0,0.0,0,1,21.0,21.0,20.0,5,0.06,0.21,55.0,14.0,2.52,0,35.3,12,0.25926,6.29648
8,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.2,72.1,10.57997,2.77826,0,29.3939,0,0.646,29.52
8,7.0,0.0,0,1,35.0,35.0,10.0,5,0.06,0.2,72.1,11.30095,2.59565,0,29.3333,22,0.646,24.68
8,7.0,0.0,0,1,35.0,35.0,10.0,5,0.06,0.2,72.1,10.89254,2.6837,0,29.2323,1,0.646,21.16
8,7.0,0.0,0,1,35.0,35.0,12.5,5,0.06,0.2,72.1,11.19228,2.68042,0,30.0,22,0.646,32.03
8,7.0,0.0,0,1,35.0,35.0,12.5,5,0.06,0.2,72.1,11.3794,2.67717,0,30.4646,1,0.646,22.91
9,21.0,0.0,0,1,21.0,21.0,0.0,5,1.2096,0.24,59.81,19.9,1.91,0,38.1,0,0.6054,17.13
9,21.0,0.0,0,1,21.0,21.0,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,0,0.56685,11.11
7,1.0,0.0,0,1,15.0,15.0,0.0,4,0.018,0.9532,65.03,12.88,2.16588,0,27.89653,0,0.44444,23.4667
7,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.90506,63.17,24.41,1.92582,0,47.00927,0,0.49167,17.6
7,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.88629,62.39,27.43,1.84851,0,50.70463,0,0.49167,21.2267
7,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.89127,62.6,28.06,1.81596,0,50.95584,0,0.49167,18.6667
7,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.8765,61.97,16.31,2.06009,0,33.60007,0,0.49167,19.4133
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,20.6933
5,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,65.87741,23.8,1.79,0,42.59,0,0.08333,29.8
5,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,64.63467,30.6,1.45,0,44.38,0,0.08333,22.8
9,17.5,0.0,0,1,70.0,0.0,0.0,5,1.2096,0.0,63.6,17.26269,2.12625,0,36.7048,0,0.43648,18.5
9,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.18,63.6,17.26269,2.12625,0,36.7048,0,0.25684,20.0
9,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.36,63.6,17.26269,2.12625,0,36.7048,0,0.25684,31.5
9,17.5,2.0,0,1,70.0,70.0,0.0,5,1.2096,0.54,63.6,17.26269,2.12625,1,36.7048,0,0.28386,25.3
0,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.43,83.0,16.5,2.60606,0,43.0,0,0.492,6.39252
0,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.21,83.0,16.5,2.60606,0,43.0,0,0.492,0.78505
7,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.48,71.0,6.1,5.77049,0,35.2,0,0.492,26.4179
7,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.23,71.0,6.1,5.77049,0,35.2,0,0.492,17.5746
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,21.6606
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,16.3433
9,7.5,5.0,0,1,30.0,30.0,0.0,5,0.06,0.48,65.9,17.86175,2.17,1,38.76,0,0.3679,29.1
9,7.5,5.0,0,1,30.0,30.0,10.0,5,0.06,0.48,70.13,18.73469,1.96,1,36.72,22,0.3679,22.8
9,7.5,5.0,0,1,30.0,30.0,10.2,5,0.06,0.48,70.13,17.73301,2.06,1,36.53,22,0.3679,21.6
9,7.5,5.0,0,1,30.0,30.0,5.2,5,0.06,0.48,70.13,17.80952,2.1,1,37.4,22,0.3679,24.6
9,7.71429,0.0,1,0,54.0,0.0,0.0,5,0.13,0.0,68.20741,21.38607,2.00199,0,39.38658,0,0.24104,11.4
9,7.71429,0.0,1,0,54.0,0.0,15.0,5,0.13,0.0,62.82171,17.3371,2.29398,0,36.26206,1,0.33829,10.1
9,7.71429,0.0,1,0,54.0,0.0,15.0,5,0.13,0.0,62.82171,17.3371,2.29398,0,36.26206,1,0.33829,9.0
9,7.71429,0.0,1,0,54.0,0.0,0.0,5,0.13,0.0,68.20741,21.38607,2.00199,0,39.38658,0,0.24104,20.5
9,7.71429,0.0,1,0,54.0,0.0,6.0,5,0.13,0.0,63.57622,17.92744,2.24279,0,36.18694,21,0.37312,16.4
9,7.71429,0.0,1,0,54.0,0.0,6.0,5,0.13,0.0,63.57622,17.92744,2.24279,0,36.18694,21,0.37312,15.7
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,18.91355
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,7.0952
8,5.0,0.02778,0,1,45.0,45.0,0.0,5,0.12,1.97084,65.0,21.22982,2.32236,1,36.86253,0,0.39779,7.3
8,5.0,0.02778,0,1,45.0,45.0,5.0,5,0.12,2.55513,65.0,21.99828,2.30744,1,35.55215,21,0.45334,4.09
