Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,25.0,1.0,30.0,0.06,1.64384,0.0,2.23068,6.9,60.0,20.01965,0.16811
10,5,4,27,11,4,1,1,0.0,0.0,0.0,96.5,0.0,2.0,0.0,0.4,0.0,0.0,1.99168,6.2,77.53,6.53,0.02
10,0,4,27,11,4,1,1,0.0,0.0,0.0,120.1,0.0,2.0,0.0,0.4,0.0,0.0,1.76989,7.01,66.71,6.81,1.1
10,0,4,27,11,4,1,1,0.0,0.0,0.0,120.1,0.0,2.0,0.0,0.4,0.0,0.0,1.699,7.41,66.36,9.22,1.2
10,0,4,27,11,4,1,1,0.0,0.0,0.0,120.1,0.0,2.0,0.0,14.50621,0.0,0.0,1.59118,7.59,67.68,7.35,0.004
10,0,4,27,11,4,1,1,0.0,0.0,0.0,109.8,0.0,2.0,0.0,14.50621,0.0,0.0,1.59118,8.04,66.26,7.24,0.033
8,8,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.03,0.22286,0.0,2.21,5.67,72.13,19.11,0.05951
8,13,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.03,0.20526,0.0,2.93,7.56,69.74,13.27,0.04235
8,4,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.03,0.21455,0.0,3.48,8.08,71.05,13.56,0.0336
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.07122,0.8589,0.0,2.6237,7.97788,60.0,15.04166,0.136
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.07122,0.92562,0.0,1.99111,7.68268,60.0,19.96354,0.214
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.07122,0.90323,0.0,1.60222,7.44525,60.0,24.98683,0.279
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.07122,0.90909,0.0,1.32741,7.08909,60.0,30.22585,0.315
2,5,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.06,1.20727,0.0,1.5,5.75,66.9,25.0,1.68
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.06,0.96434,0.0,1.7,5.36,58.6,20.9,0.69
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.06,0.85547,0.0,1.9,5.13,53.1,18.7,1.34
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.06,0.76023,0.0,2.0,5.04,47.5,16.8,2.36
0,5,4,27,11,4,1,2,0.0,0.0,0.0,287.0,0.0,2.0,0.0,0.04906,0.0,0.0,2.516,7.47,80.89,18.15183,0.9
0,5,4,27,11,4,1,2,0.0,0.0,0.0,287.0,0.0,2.0,0.0,0.09813,0.0,0.0,2.83,7.42,80.82,16.16184,1.1
10,13,4,27,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.37,0.108,0.0,1.37255,8.8,69.4,29.0,1.13
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.37,0.108,1.7301,1.6609,9.1,71.1,24.7,1.06
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.37,0.108,1.38889,2.39583,8.8,71.2,17.6,1.02
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.37,0.108,3.7037,2.19136,9.0,67.6,19.0,0.71
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.37,0.108,0.32468,2.33766,8.6,69.2,19.5,0.81
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.37,0.108,2.06897,2.31034,9.2,71.0,21.2,0.77
10,13,4,16,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.37,0.108,0.0,2.22222,7.5,70.3,19.6,1.2
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.18,0.108,2.83688,2.30496,8.4,71.8,19.5,1.03
0,13,4,27,11,4,1,1,0.0,0.0,0.0,64.0,0.0,2.0,0.0,1.1,0.0,0.0,2.04892,7.9,74.27405,20.46862,0.11274
0,13,4,27,11,4,1,1,1.0,0.0,0.0,64.0,0.0,2.0,0.0,1.1,0.0,0.0,2.04892,7.9,74.27405,20.46862,0.11492
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,0.0,2.0,0.0,1.1,0.0,0.0,2.04892,7.9,74.27405,21.63185,0.06709
0,13,4,27,11,4,1,1,1.0,1410.0,12.0,64.0,64.0,1.0,30.0,1.1,2.5,0.0,2.04892,7.9,74.27405,19.48332,0.06553
7,13,4,27,11,4,1,0,1.0,720.0,4.0,30.0,30.0,1.0,10.0,0.1,0.00833,0.0,0.77987,7.7987,60.0,41.11596,0.024
7,13,4,7,11,4,1,0,1.0,720.0,4.0,30.0,30.0,1.0,10.0,0.1,0.00833,10.0,0.78831,7.88312,60.0,38.25338,0.016
7,13,4,2,11,4,1,0,1.0,720.0,4.0,30.0,30.0,1.0,10.0,0.1,0.00833,10.0,0.77338,7.73377,60.0,42.9974,0.006
0,13,4,27,11,4,1,0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.06,0.21,0.0,1.45,7.53,60.22,29.35,0.4004
0,13,4,27,11,4,1,0,1.0,10.0,0.0,20.0,20.0,1.0,10.0,0.06,0.42,0.0,1.45,7.53,60.22,29.35,0.534
0,13,4,27,11,4,1,0,1.0,15.0,0.0,20.0,20.0,1.0,5.0,0.06,0.84,0.0,1.45,7.53,60.22,29.35,0.6341
10,13,4,27,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,0.0,0.0,1.66749,7.84114,70.56832,24.8781,0.72
10,13,4,28,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,0.0,15.0,1.80593,8.04834,70.1223,22.8873,0.73
10,13,4,2,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,0.0,10.0,1.57849,6.82943,61.22887,26.366,0.45
10,13,4,2,12,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,0.0,25.0,1.71941,8.35041,70.93546,24.4799,0.55
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.06,0.21,0.0,2.34,7.26,55.0,11.5,0.00623
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.06,0.21,20.0,2.52,7.36,55.0,14.7,0.00162
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.06,0.21,20.0,2.52,7.21,55.0,14.0,0.00224
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,31.0,0.0,0.0,0.06,0.09384,0.0,2.1,9.1,65.4,14.2,0.74
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,31.0,0.0,0.0,0.06,0.15639,0.0,2.1,9.1,65.4,14.2,0.83
0,13,4,27,11,4,1,0,1.0,20.0,2.0,31.0,31.0,1.0,10.0,0.06,0.28151,0.0,2.1,9.1,65.4,14.2,0.93
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.2,0.0,2.77826,7.82186,72.1,10.57997,0.88
8,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.2,10.0,2.59565,7.57287,72.1,11.30095,1.11
8,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.2,10.0,2.6837,7.78543,72.1,10.89254,0.6
8,13,4,30,3,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.2,12.5,2.68042,7.75506,72.1,11.19228,0.24
8,13,4,4,3,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.2,12.5,2.67717,7.69433,72.1,11.3794,0.23
10,13,4,27,11,4,1,0,1.0,0.0,1.0,21.0,21.0,0.0,0.0,1.2096,0.24,0.0,1.91,7.3,59.81,19.9,2.3
10,0,4,27,11,4,1,0,1.0,0.0,1.0,21.0,21.0,0.0,0.0,1.2096,0.24,0.0,1.79,7.86,60.21,19.9,1.24
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.0,2.0,0.0,0.06,0.0,0.0,1.79,8.2,71.26222,23.8,0.41
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.0,2.0,0.0,0.06,0.0,0.0,1.45,8.4,69.09232,30.6,0.09
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,0.0,2.0,0.0,1.2096,0.0,0.0,2.12625,8.11709,63.6,17.26269,1.4
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,70.0,0.0,0.0,1.2096,0.18,0.0,2.12625,8.11709,63.6,17.26269,1.2
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,70.0,0.0,0.0,1.2096,0.36,0.0,2.12625,8.11709,63.6,17.26269,1.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,70.0,0.0,0.0,1.2096,0.54,0.0,2.12625,8.11709,63.6,17.26269,2.7
10,13,4,27,11,4,1,0,1.0,20.0,4.0,70.0,70.0,1.0,40.0,1.2096,0.54,0.0,2.12625,8.11709,63.6,17.26269,2.5
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.01,0.43,0.0,2.60606,8.45,83.0,16.5,0.10748
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.01,0.21,0.0,2.60606,8.45,83.0,16.5,0.11495
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.01,0.48,0.0,5.77049,6.8,71.0,6.1,0.0821
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.01,0.23,0.0,5.77049,6.8,71.0,6.1,0.1254
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.01,0.43,37.7,3.9918,6.95,65.0,12.2,0.0394
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.01,0.48,37.7,3.9918,6.95,65.0,12.2,0.1567
10,13,4,27,11,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,0.06,0.48,0.0,2.17,7.8444,65.9,17.86175,3.1
10,13,4,30,11,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,0.06,0.48,10.0,1.96,7.85581,63.543,18.73469,3.2
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,0.06,0.48,10.2,2.06,7.79357,67.107,17.73301,2.0
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,0.06,0.48,5.2,2.1,7.8112,66.05909,17.80952,2.0
8,13,4,27,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.12,0.79757,0.0,2.07247,7.26608,65.0,19.71315,1.92
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.12,0.76651,5.0,1.98314,6.76797,65.0,19.1211,1.1
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.12,1.01857,1.0,1.99397,6.57881,65.0,22.93187,0.79
8,13,4,36,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.12,0.80546,1.0,2.01424,6.9256,65.0,21.09396,2.48
8,13,4,13,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.12,0.64862,3.0,1.94921,6.13745,65.0,22.27466,2.29
8,13,4,22,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.12,1.02919,3.0,2.07057,7.07692,65.0,19.79134,0.5
8,13,4,4,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.12,0.55789,5.0,2.00321,6.70492,65.0,19.1211,1.64
10,13,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.1,0.3,0.0,1.92291,7.7,60.0,25.0,0.79
10,13,4,2,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.1,0.3,10.0,2.12828,7.7,60.0,25.0,0.3
10,13,4,38,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.1,0.3,10.0,2.12828,7.7,60.0,25.0,0.39
10,13,4,2,15,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.1,0.3,20.0,2.27354,7.7,60.0,25.0,0.19
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.1,0.0,2.68,7.84398,72.86,11.37,0.8
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.2,0.0,2.68,7.7688,72.86,11.37,0.6
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.3,0.0,2.68,7.89098,72.86,11.37,0.6
10,13,4,27,11,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,0.0,2.23,8.56244,52.2,24.8,1.5
10,13,4,13,8,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,3.74722,2.22788,8.07981,61.019,20.76343,1.4
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,4.39522,2.25502,8.03662,60.305,20.76343,1.0
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,5.39522,2.2751,7.99718,60.305,19.43443,0.3
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,5.39522,2.31124,7.94273,60.305,19.4679,0.3
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,4.39522,2.35657,7.99343,60.305,20.76343,0.3
0,5,4,27,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.13421,0.0,0.0,1.37,7.8,74.394,15.19684,0.003
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.16221,0.0,0.0,1.33,7.4,74.734,15.18009,0.016
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.16221,0.0,0.0,1.38,7.4,74.734,15.18009,0.017
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.16221,0.0,0.0,1.23,7.37,74.734,15.18009,0.053
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.16621,0.0,0.0,1.42,7.7,73.75141,14.89904,0.001
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.13021,0.0,0.7,1.2,7.8,74.734,15.18009,0.003
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.13021,0.0,0.7,1.22,7.8,74.734,15.18009,0.001
0,5,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.02069,0.0,0.0,2.26278,7.455,73.564,13.695,0.22
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.02069,0.0,0.0,2.26278,7.455,73.564,13.695,0.43
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.02069,0.0,0.0,2.26278,7.455,73.564,13.695,0.17
