Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
10,13,4,4,8,4,1,0,1.0,0.0,5.0,39.0,39.0,0.0,0.0,2.5,0.06,1.72033,66.246,1.73101,20.7524,6.84899,5.45
10,8,4,27,11,4,1,0,1.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0212,0.91133,61.8,2.86133,16.5,6.33927,34.9
10,8,4,21,11,4,1,0,1.0,0.0,0.0,26.0,26.0,0.0,0.0,0.56,0.0212,0.90955,61.8,2.98895,15.23491,6.19896,15.0
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.0,0.06,0.38,70.4,2.09,20.3,7.24574,31.32
10,13,4,20,6,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,4.56,0.06,0.38,65.416,2.17362,20.09813,7.82614,21.79
10,13,4,20,1,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,6.48,0.06,0.38,64.489,2.40973,16.65113,7.85682,14.21
10,8,4,27,11,4,1,0,1.0,0.0,6.0,110.0,110.0,0.0,0.0,0.0,0.032,1.76554,64.6,2.34,26.55012,7.4,9.7
10,8,4,25,11,4,1,0,1.0,0.0,6.0,110.0,110.0,0.0,0.0,11.25,0.032,1.76554,64.6,2.34,24.5,7.4,9.3
10,8,4,8,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.25,1.1066,0.0318,0.3692,60.6289,2.4529,16.45622,7.94808,2.147
10,8,4,11,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.25,10.25,0.0318,1.01076,64.9057,2.51066,15.56186,7.51827,5.739
10,8,4,27,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.25,0.0,0.0318,0.3692,61.8868,2.24044,16.45622,7.85,3.462
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.17,0.2885,70.5,1.59,26.0,8.8,19.81132
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,3.62976,0.17,0.29038,71.0,1.44,23.33835,8.8,13.54167
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,7.30994,0.17,0.2924,71.5,1.55,20.29172,8.6,11.6129
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,9.97672,0.17,0.26605,69.0,1.36,30.0,8.7,9.12409
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.17,0.26377,70.0,1.72,19.668,8.4,10.75581
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,13.09719,0.17,0.28166,71.8,1.66,18.63681,8.2,10.84337
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,24.36647,0.17,0.26201,69.6,1.58,22.66223,8.3,15.50633
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,37.59079,0.17,0.26947,70.3,1.47,21.96158,8.3,16.66667
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.17,0.28948,70.6,1.59,18.29296,8.6,16.03774
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.0,3.10479,0.17,0.28882,70.8,1.57,20.37096,8.6,14.96815
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.0,3.43688,0.17,0.28171,70.1,1.55,19.78139,8.6,13.54839
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.0,3.68545,0.17,0.27867,69.8,1.55,21.18629,8.9,15.16129
