Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Compost volume (m3), Composting Method,M1_is Enclosed,Period (d),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),Initial GI (%),Final GI (%),CO2-C loss (%)
0,13,0,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.21563949981795955,37.380428571428574,78.981501,30.168262983600197
0,13,1,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.21563949981795955,37.380428571428574,78.981501,30.168262983600197
0,13,2,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.21563949981795955,37.380428571428574,79.18050099999999,30.168262983600197
0,13,3,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.21563949981795955,37.380428571428574,79.59591099999997,30.168262983600197
0,13,4,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.21563949981795955,37.380428571428574,79.99819499999998,30.168262983600197
0,13,5,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.20966297282707722,37.380428571428574,79.99819499999998,30.168262983600197
0,13,6,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.20966297282707722,37.380428571428574,79.99819499999998,30.168262983600197
0,13,7,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.20966297282707722,37.380428571428574,79.99819499999998,30.235523771831605
0,13,8,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.208663807510339,37.380428571428574,79.99819499999998,30.235523771831605
0,13,9,27,11,4,1,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,2,0,68,0.4370550027458454,0,0,0,68,0.16,13,13.071371647780724,0.19574556,0.208663807510339,37.380428571428574,79.99819499999998,30.235523771831605
