Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NO2-N (g_kg)
3,19,1.0,0,3,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,8,0.0,7,30.88,0.61
3,19,1.0,0,3,28.0,0.0,2,0.0,0.0,9.0,10.0,0.13,59.45,8,0.0,7,31.04,0.65
0,11,1.0,0,5,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,72.13,27,0.22,7,19.11,0.05
0,19,1.0,0,5,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,69.74,27,0.21,7,13.27,0.1
0,9,1.0,0,5,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,71.05,27,0.21,7,13.56,0.01
0,9,1.0,0,5,60.0,60.0,0,0.0,0.0,0.0,1.89,0.03,71.6,0,0.22,7,20.81,0.09
0,9,1.0,0,5,60.0,60.0,0,0.0,0.0,0.0,2.47,0.03,71.09,26,0.21,7,20.81,0.06
0,9,1.0,0,5,60.0,60.0,0,0.0,0.0,0.0,2.0,0.03,70.84,25,0.21,7,20.81,0.06
0,9,1.0,0,5,60.0,60.0,0,0.0,0.0,0.0,0.0,0.03,70.07,27,0.21,7,20.81,0.36
3,5,0.0,1,6,65.0,0.0,2,0.0,0.0,18.0,0.0,16.11,80.3,27,0.0,7,15.4,0.3
3,10,0.0,1,6,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,70.4,27,0.0,7,28.3,0.84
3,8,0.0,1,6,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,71.6,27,0.0,7,30.2,0.71
3,4,0.0,1,6,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,70.1,27,0.0,7,24.7,0.82
0,4,0.0,1,5,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,27,0.1,7,20.42,1.06
0,4,0.0,1,5,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,27,0.1,7,20.42,1.41
0,4,0.0,1,5,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,27,0.1,7,20.42,1.29
0,11,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.45,27,0.37,7,11.68,0.2
0,11,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.82,27,0.35,7,10.89,0.18
0,11,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.53,27,0.37,7,11.38,0.18
0,11,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.74,27,0.31,7,12.39,0.21
0,11,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.52,27,0.29,7,12.04,0.17
0,11,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.08,27,0.31,7,9.49,0.16
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.35,27,0.36,7,12.19,0.27
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.11,27,0.34,7,12.47,0.22
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.01,27,0.31,7,12.04,0.22
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.56,27,0.29,7,11.48,0.2
0,14,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.58,27,0.31,7,12.56,0.25
0,11,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.18,27,0.35,7,9.95,0.25
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,57.57,27,0.33,7,13.48,0.19
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.18,27,0.34,7,11.3,0.21
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.59,27,0.36,7,10.25,0.22
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,59.92,27,0.36,7,10.59,0.27
0,13,1.0,0,5,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.03,27,0.34,7,10.29,0.25
0,11,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.14
0,11,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,7,20.54,0.15
0,11,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,2,20.54,0.16
0,11,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,16,0.44,7,20.54,0.2
