Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,8.0,0,1,0,56.0,0.0,0.0,6.6,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,60.5
8,8.0,0,1,0,56.0,0.0,0.0,9.9,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,55.3
8,8.0,0,1,0,56.0,0.0,0.0,13.2,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,44.3
5,3.11111,0,1,0,28.0,0.0,0.0,0.0,8,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,0,0.5,41.19
5,3.11111,0,1,0,28.0,0.0,0.0,2.0,8,0.13,0.0,60.661,30.0375,1.668,0,50.10255,4,0.5,38.64
5,3.11111,0,1,0,28.0,0.0,0.0,4.0,8,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,4,0.5,31.45
5,3.11111,0,1,0,28.0,0.0,0.0,6.0,8,0.13,0.0,60.4548,30.568,1.562,0,47.74722,4,0.5,25.78
5,3.11111,0,1,0,28.0,0.0,0.0,8.0,8,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,4,0.5,18.48
5,3.11111,0,1,0,28.0,0.0,0.0,10.0,8,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,4,0.5,12.39
8,14.0,0,1,5,28.0,28.0,30.0,0.0,8,0.07122,0.8589,60.0,15.04166,2.6237,1,39.4648,0,0.22888,46.9
8,14.0,0,1,5,28.0,28.0,30.0,0.0,8,0.07122,0.92562,60.0,19.96354,1.99111,1,39.7496,0,0.21239,53.94
8,14.0,0,1,5,28.0,28.0,30.0,0.0,8,0.07122,0.90323,60.0,24.98683,1.60222,1,40.0344,0,0.21765,67.74
2,7.0,0,1,6,28.0,28.0,30.0,0.0,8,0.06,1.20727,66.9,25.0,1.5,1,37.5,0,0.55333,52.8
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,0,0.51833,59.4
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,0,0.48833,62.5
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,0,0.54167,60.1
1,4.44444,1,1,0,40.0,0.0,0.0,0.0,8,0.2,0.0,65.0,29.7094,1.33073,0,39.53519,0,0.25,55.81
1,4.44444,1,1,0,40.0,0.0,0.0,1.0,8,0.2,0.0,65.0,29.8465,1.34581,0,40.16772,10,0.25,54.13
1,4.44444,1,1,0,40.0,0.0,0.0,5.0,8,0.2,0.0,65.0,33.0811,1.24777,0,41.2776,0,0.25,52.5
1,4.44444,1,1,0,40.0,0.0,0.0,6.0,8,0.2,0.0,65.0,33.4375,1.23268,0,41.21774,0,0.25,48.48
5,7.5,0,1,7,30.0,30.0,10.0,0.0,8,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,0,0.5,28.4
