Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
0,1.0,0,0,2,0.0,31,3,6,13,15.0,15.0,0,0.0,0.0,0.0,70.0,0.26,19.59,10.76
0,1.0,0,0,2,0.0,32,3,6,13,15.0,15.0,0,0.0,0.0,13.1,71.8,0.28,21.56,10.84
0,1.0,0,0,2,0.0,32,3,6,13,15.0,15.0,0,0.0,0.0,24.37,69.6,0.26,22.23,15.51
0,1.0,0,0,2,0.0,32,3,6,13,15.0,15.0,0,0.0,0.0,37.59,70.3,0.27,20.16,16.67
0,1.0,0,0,2,0.0,31,3,6,13,15.0,6.0,0,0.0,0.0,0.0,70.6,0.29,15.84,16.04
0,1.0,0,0,2,0.0,30,3,6,12,15.0,6.0,0,0.0,0.0,3.1,70.8,0.29,14.68,14.97
0,1.0,0,0,2,0.0,30,3,6,12,15.0,6.0,0,0.0,0.0,3.44,70.1,0.28,14.68,13.55
0,1.0,0,0,2,0.0,30,3,6,12,15.0,6.0,0,0.0,0.0,3.69,69.8,0.28,14.68,15.16
0,1.0,0,0,2,0.0,31,3,6,13,15.0,15.0,0,0.0,0.0,0.0,71.5,0.28,20.38,14.81
0,1.0,0,0,2,0.0,30,3,6,12,15.0,15.0,0,0.0,0.0,3.67,72.3,0.28,19.59,16.67
0,1.0,0,0,2,0.0,30,3,6,12,15.0,15.0,0,0.0,0.0,7.02,71.3,0.27,19.28,12.98
0,1.0,0,0,2,0.0,30,3,6,12,15.0,15.0,0,0.0,0.0,10.35,71.1,0.27,19.8,13.2
9,0.0,1,0,2,0.0,31,3,6,13,70.0,0.0,2,0.0,10.0,0.0,67.94,0.0,18.89,35.3
9,0.0,1,0,2,0.0,40,3,6,13,70.0,0.0,2,0.0,10.0,3.3,66.61,0.0,18.89,28.0
9,0.0,1,0,2,0.0,40,3,6,13,70.0,0.0,2,0.0,10.0,6.6,66.61,0.0,18.89,21.2
9,0.0,1,0,2,0.0,40,3,6,13,70.0,0.0,2,0.0,10.0,9.9,68.83,0.0,18.89,16.8
9,0.0,1,0,2,0.0,40,3,6,13,70.0,0.0,2,0.0,10.0,13.2,69.44,0.0,18.89,14.8
9,0.0,1,0,2,0.0,40,3,6,13,70.0,0.0,2,0.0,10.0,16.5,68.07,0.0,18.89,8.3
7,0.77,0,0,2,12.28,31,3,5,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,12.84
8,1.0,0,0,2,0.0,13,3,5,13,22.0,22.0,0,0.0,11.0,2.0,59.4,0.47,13.18,16.29
8,1.0,0,0,2,0.0,13,3,5,13,22.0,22.0,0,0.0,11.0,2.93,57.5,0.5,16.78,18.74
